"","X","interview__key","country","crop","lines_developed","varieties_developed","area","yield","yield_control","productivity_increase","agro_trait_.Disease.resistance","agro_trait_.Drought.tolerance","agro_trait_.Even..pod.maturity","agro_trait_.Herbicide.tolerance","agro_trait_.Iron.toxicity.tolerance","agro_trait_.Lodging.resistance","agro_trait_.Maturity.period.Duration","agro_trait_.Nutrient.use.efficiency","agro_trait_.Plant.Height","agro_trait_.Salt.tolerance","agro_trait_.Submergence.tolerance","agro_trait_.Tillering.capacity.ability","agro_trait_.Water.use.efficient","agro_trait_.Water.saving.capacity","agro_trait_.Weed.competitivenes","agro_trait_.Yield","agro_trait_.NA","qual_trait_Gluten.free","qual_trait_Grain.size","qual_trait_Grain.shape","qual_trait_Grain.color","qual_trait_Milling.quality","qual_trait_Eating.quality","qual_trait_High.mineral.content","qual_trait_High.oil.content","qual_trait_High.seed.protein.content","qual_trait_NA","price_filter","increase_price","mkt_price_localCurrency","mkt_price_USD","confirm_mktPrice","additional_benefits","which_additional_benefits","env_trait_Reduction.of.pesticide.use","env_trait_Reduction.of.chemical.fertilizer","env_trait_Increase.of.water.efficiency","env_trait_Increase.soil.fertility","env_trait_None","reduction_pesticide","reduction_fertilizer","increase_water","increase_soil","lon","lat"
"1",1,"43-70-65-26","Laos","Mungbean",10,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,102.471,19.905
"2",2,"43-70-65-26","Laos","Rice",63,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,102.471,19.905
"3",3,"43-70-65-26","Laos","Soybean",20,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,102.471,19.905
"4",4,"93-45-81-76","Japan","Rice",43,43,180223,5,5,0,"Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No",2,NA,170000,1360,1,1,"Cake, cracker, bread  sake, etc","Yes","Yes","No","No","No",0.1,0.1,NA,NA,138,36
"5",5,"93-45-81-76","Japan","Soybean",17,17,13000,1.7,1.7,0,"No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No",1,0.01,160000,1280,1,1,"soy sauce, miso, tofu, etc","No","Yes","No","No","No",NA,0.01,NA,NA,138,36
"6",6,"09-37-07-04","Pakistan","Chickpea",55,15,13200000,1.5,1,55000,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No",1,0.1,86700,561,1,1,"Nutritional value","No","No","No","Yes","No",NA,NA,NA,0.05,70,30
"7",7,"09-37-07-04","Pakistan","Mungbean",88,12,2280000,1.3,1,100000,"Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No",1,0.1,150000,971,1,1,"nutritional value","No","No","No","Yes","No",NA,NA,NA,0.05,70,30
"8",8,"09-37-07-04","Pakistan","Rice",30,8,6000000,5.5,4,2770000,"No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No",1,0.05,40000,259,1,1,"milling quality","No","No","Yes","No","No",NA,NA,0.1,NA,70,30
"9",9,"13-62-20-59","Nepal","Groundnut",5,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,83.939,28.253
"10",10,"13-62-20-59","Nepal","Rice",20,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,83.939,28.253
"11",11,"13-62-20-59","Nepal","Sugarcane",25,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,83.939,28.253
"12",12,"37-56-33-00","Bangladesh","Groundnut",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,90,24
"13",13,"37-56-33-00","Bangladesh","Rice",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,90,24
